,Team,Margin_Of_Victory,Simple_Rating_System,Offensive_Rating,Defensive_Rating,Net_Rating,Pace,Free_Throw_Rate,3_Pt_Rate,Turnover_Percentage,Offensive_Rebound_Percentage,Opponent_EFG,Opponent_Turnover_Percentage,Opponent_Defensive_Rebound_Percentage,Team_ID
0,HOUSTON_ROCKETS,8.48,8.21,114.7,106.1,8.6,97.6,0.298,0.502,12.7,21.3,0.521,13.4,79.9,10
1,TORONTO_RAPTORS,7.78,7.29,113.8,105.9,7.9,97.4,0.25,0.377,12.1,23.0,0.501,13.0,77.7,27
2,GOLDEN_STATE_WARRIORS,5.98,5.79,113.6,107.6,6.0,99.6,0.239,0.33899999999999997,14.1,21.0,0.504,12.6,76.3,9
3,UTAH_JAZZ,4.3,4.47,108.4,103.9,4.5,95.7,0.26,0.35700000000000004,13.7,21.5,0.506,14.0,79.8,28
4,PHILADELPHIA_76ERS,4.5,4.3,109.5,105.0,4.5,99.8,0.263,0.344,14.6,25.3,0.49200000000000005,12.6,78.6,22
5,OKLAHOMA_CITY_THUNDER,3.41,3.42,110.7,107.2,3.5,96.7,0.275,0.345,12.4,27.7,0.525,14.7,77.4,20
6,BOSTON_CELTICS,3.59,3.23,107.6,103.9,3.7,96.0,0.243,0.35700000000000004,13.0,21.5,0.495,13.0,78.4,1
7,SAN_ANTONIO_SPURS,2.89,2.89,107.9,104.8,3.1,95.0,0.245,0.282,12.2,23.7,0.507,13.2,78.6,26
8,PORTLAND_TRAIL_BLAZERS,2.6,2.6,109.1,106.4,2.7,96.5,0.24,0.324,12.3,23.3,0.503,11.7,79.1,24
9,MINNESOTA_TIMBERWOLVES,2.23,2.35,113.4,111.1,2.3,96.0,0.28,0.261,11.4,24.4,0.539,13.9,76.4,17
10,DENVER_NUGGETS,1.48,1.57,112.5,111.0,1.5,96.8,0.258,0.35700000000000004,13.4,25.7,0.539,12.6,77.5,7
11,NEW_ORLEANS_PELICANS,1.3,1.48,109.6,108.3,1.3,100.5,0.237,0.319,13.3,20.0,0.513,12.5,76.7,18
12,INDIANA_PACERS,1.38,1.18,109.5,108.1,1.4,96.0,0.222,0.284,12.3,22.7,0.527,14.2,76.2,11
13,CLEVELAND_CAVALIERS,0.94,0.59,112.9,111.9,1.0,98.0,0.275,0.379,12.6,20.1,0.54,12.2,77.3,5
14,WASHINGTON_WIZARDS,0.59,0.53,109.3,108.7,0.6,96.6,0.254,0.31,13.3,23.5,0.522,13.6,77.1,29
15,LOS_ANGELES_CLIPPERS,0.04,0.15,110.3,110.2,0.1,98.7,0.299,0.314,13.2,23.5,0.52,12.6,76.1,12
16,MIAMI_HEAT,0.48,0.15,106.8,106.3,0.5,95.6,0.22899999999999998,0.358,13.3,21.5,0.507,13.1,79.0,15
17,CHARLOTTE_HORNETS,0.26,0.07,109.4,109.1,0.3,98.4,0.312,0.314,11.4,22.2,0.532,12.4,80.7,3
18,DETROIT_PISTONS,-0.15,-0.26,107.2,107.3,-0.1,96.2,0.22699999999999998,0.33299999999999996,12.3,22.7,0.524,13.7,78.5,8
19,MILWAUKEE_BUCKS,-0.3,-0.45,109.8,110.1,-0.3,96.2,0.281,0.297,12.9,20.4,0.528,14.2,75.9,16
20,LOS_ANGELES_LAKERS,-1.55,-1.44,106.5,108.0,-1.5,100.3,0.264,0.32899999999999996,13.8,23.6,0.514,12.5,77.7,13
21,DALLAS_MAVERICKS,-3.04,-2.7,106.3,109.5,-3.2,95.6,0.217,0.382,11.6,18.0,0.532,12.9,78.9,6
22,NEW_YORK_KNICKS,-3.56,-3.53,107.1,110.7,-3.6,96.8,0.21600000000000003,0.266,13.3,24.1,0.522,12.2,76.7,19
23,BROOKLYN_NETS,-3.74,-3.67,106.9,110.6,-3.7,98.9,0.26,0.41100000000000003,13.6,21.0,0.517,11.0,77.0,2
24,ORLANDO_MAGIC,-4.82,-4.92,105.2,110.1,-4.9,98.1,0.23800000000000002,0.342,13.3,20.0,0.525,12.8,75.6,21
25,ATLANTA_HAWKS,-5.45,-5.3,105.0,110.6,-5.6,98.3,0.23600000000000002,0.363,14.1,21.1,0.536,13.6,76.2,0
26,MEMPHIS_GRIZZLIES,-6.21,-5.81,104.5,111.0,-6.5,94.9,0.255,0.317,14.0,22.4,0.529,13.8,76.5,14
27,SACRAMENTO_KINGS,-6.99,-6.6,103.7,111.1,-7.4,94.9,0.19399999999999998,0.278,12.8,21.5,0.542,13.5,77.6,25
28,CHICAGO_BULLS,-7.04,-6.84,103.8,110.9,-7.1,98.3,0.21600000000000003,0.35,12.6,20.6,0.542,12.4,80.6,4
29,PHOENIX_SUNS,-9.37,-8.8,103.5,112.8,-9.3,100.3,0.275,0.32,13.9,22.5,0.5329999999999999,11.9,76.5,23
