,Team,Margin_Of_Victory,Simple_Rating_System,Offensive_Rating,Defensive_Rating,Net_Rating,Pace,Free_Throw_Rate,3_Pt_Rate,Turnover_Percentage,Offensive_Rebound_Percentage,Opponent_EFG,Opponent_Turnover_Percentage,Opponent_Defensive_Rebound_Percentage,Team_ID
0,MILWAUKEE_BUCKS,8.87,8.04,113.8,105.2,8.6,103.3,0.255,0.419,12.0,20.8,0.503,11.5,80.3,16
1,GOLDEN_STATE_WARRIORS,6.46,6.42,115.9,109.5,6.4,100.9,0.22699999999999998,0.384,12.6,22.5,0.508,11.7,77.1,9
2,TORONTO_RAPTORS,6.09,5.49,113.1,107.1,6.0,100.2,0.247,0.379,12.4,21.9,0.509,13.1,77.1,27
3,UTAH_JAZZ,5.26,5.28,110.9,105.7,5.2,100.3,0.295,0.39399999999999996,13.4,22.9,0.507,12.4,80.3,28
4,HOUSTON_ROCKETS,4.77,4.96,115.5,110.7,4.8,97.9,0.27899999999999997,0.519,12.0,22.8,0.525,13.4,74.4,10
5,PORTLAND_TRAIL_BLAZERS,4.2,4.43,114.7,110.5,4.2,99.1,0.258,0.33899999999999997,12.1,26.6,0.516,11.0,77.9,24
6,DENVER_NUGGETS,3.95,4.19,113.0,108.9,4.1,97.7,0.23199999999999998,0.348,11.9,26.6,0.521,12.3,78.0,7
7,BOSTON_CELTICS,4.44,3.9,112.2,107.8,4.4,99.6,0.215,0.381,11.5,21.6,0.514,13.4,77.0,1
8,OKLAHOMA_CITY_THUNDER,3.4,3.56,110.3,107.0,3.3,102.8,0.266,0.34700000000000003,11.7,26.0,0.523,14.4,78.2,20
9,INDIANA_PACERS,3.33,2.76,109.9,106.5,3.4,98.1,0.242,0.292,12.4,21.9,0.516,14.1,76.2,11
10,PHILADELPHIA_76ERS,2.7,2.25,112.6,110.0,2.6,101.6,0.312,0.342,12.9,24.5,0.512,11.1,78.6,22
11,SAN_ANTONIO_SPURS,1.68,1.8,112.9,111.2,1.7,98.3,0.237,0.28600000000000003,11.0,21.0,0.528,11.0,79.4,26
12,LOS_ANGELES_CLIPPERS,0.85,1.09,112.4,111.5,0.9,101.7,0.326,0.295,12.7,22.0,0.514,11.4,76.0,12
13,ORLANDO_MAGIC,0.71,0.28,108.9,108.1,0.8,98.1,0.21600000000000003,0.36,11.9,22.0,0.515,11.8,79.7,21
14,BROOKLYN_NETS,-0.07,-0.4,109.6,109.7,-0.1,100.8,0.284,0.40299999999999997,13.0,23.8,0.512,11.6,76.4,2
15,MIAMI_HEAT,-0.23,-0.45,107.3,107.6,-0.3,98.2,0.247,0.368,13.1,24.8,0.51,12.7,77.6,15
16,DETROIT_PISTONS,-0.24,-0.56,109.0,109.2,-0.2,97.4,0.262,0.39399999999999996,12.3,24.8,0.526,12.8,78.7,8
17,SACRAMENTO_KINGS,-1.12,-0.81,110.4,111.5,-1.1,103.1,0.244,0.321,11.5,23.1,0.5329999999999999,13.6,75.5,25
18,DALLAS_MAVERICKS,-1.28,-0.87,109.4,110.7,-1.3,99.0,0.29100000000000004,0.42200000000000004,12.7,22.7,0.522,11.6,77.5,6
19,MINNESOTA_TIMBERWOLVES,-1.5,-1.02,111.4,112.9,-1.5,100.2,0.267,0.315,11.4,24.6,0.5379999999999999,12.9,74.9,17
20,NEW_ORLEANS_PELICANS,-1.33,-1.1,111.4,112.6,-1.2,103.3,0.254,0.324,12.6,24.1,0.532,11.6,76.8,18
21,CHARLOTTE_HORNETS,-1.1,-1.32,111.4,112.5,-1.1,98.7,0.257,0.37799999999999995,10.9,21.7,0.5379999999999999,12.1,77.1,3
22,LOS_ANGELES_LAKERS,-1.72,-1.33,107.8,109.5,-1.7,103.2,0.257,0.342,13.4,22.2,0.516,12.2,76.4,13
23,MEMPHIS_GRIZZLIES,-2.6,-2.08,106.1,108.8,-2.7,96.6,0.272,0.342,12.9,20.0,0.521,13.9,77.6,14
24,WASHINGTON_WIZARDS,-2.9,-3.3,111.1,113.9,-2.8,101.4,0.266,0.37,12.3,21.3,0.546,13.5,74.1,29
25,ATLANTA_HAWKS,-6.02,-6.06,108.1,113.9,-5.8,103.9,0.255,0.40299999999999997,14.3,24.7,0.541,12.8,76.4,0
26,CHICAGO_BULLS,-8.41,-8.32,104.8,113.2,-8.4,99.0,0.235,0.295,12.7,19.4,0.541,11.9,77.3,4
27,PHOENIX_SUNS,-9.34,-8.61,105.9,115.1,-9.2,100.5,0.259,0.335,13.8,20.5,0.545,13.5,72.5,23
28,NEW_YORK_KNICKS,-9.21,-8.93,104.5,113.7,-9.2,99.6,0.27,0.33399999999999996,12.4,22.1,0.5329999999999999,11.7,76.1,19
29,CLEVELAND_CAVALIERS,-9.61,-9.39,107.7,117.6,-9.9,96.6,0.23600000000000002,0.332,12.2,23.7,0.564,11.5,77.0,5
