,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
110,0.672,0.814,7.0,-3.768,1.0,0.27,0.258,0.0,0.164,0.379,97.043
111,0.593,0.596,8.0,-10.488,1.0,0.0408,0.33,0.0,0.0976,0.776,86.965
112,0.593,0.593,11.0,-8.216,1.0,0.289,0.0306,9.94e-06,0.229,0.488,81.291
113,0.483,0.89,9.0,-3.378,1.0,0.196,0.0527,0.0299,0.248,0.494,89.658
114,0.546,0.468,5.0,-8.167,1.0,0.0287,0.153,0.00257,0.321,0.416,73.372
115,0.723,0.465,3.0,-6.454,0.0,0.0952,0.259,2.7e-05,0.108,0.513,97.702
116,0.752,0.765,9.0,-5.805,0.0,0.0908,0.118,0.0,0.31,0.309,105.998
117,0.507,0.753,5.0,-5.31,0.0,0.19,0.503,0.0,0.573,0.657,178.068
118,0.374,0.568,1.0,-3.825,0.0,0.109,0.219,0.00219,0.513,0.111,84.733
119,0.793,0.473,8.0,-8.681,1.0,0.0888,0.243,0.00017,0.0976,0.0372,111.144
120,0.55,0.611,0.0,-7.475,1.0,0.137,0.162,6.88e-05,0.121,0.243,148.062
121,0.635,0.675,2.0,-3.445,1.0,0.0263,0.0801,0.0,0.0831,0.273,113.946
122,0.739,0.326,5.0,-10.376,0.0,0.0369,0.512,0.0515,0.137,0.273,97.354
123,0.64,0.427,5.0,-9.29,0.0,0.0241,0.0664,0.0,0.0579,0.529,149.703
124,0.713,0.475,6.0,-4.436,0.0,0.0659,0.0608,7.55e-06,0.156,0.33,87.022
125,0.721,0.707,6.0,-6.364,1.0,0.0595,0.181,3.68e-06,0.143,0.743,125.005
126,0.711,0.292,4.0,-15.523,0.0,0.037,0.313,0.0,0.131,0.194,103.951
127,0.834,0.504,6.0,-8.671,0.0,0.0886,0.267,0.000534,0.119,0.591,100.011
128,0.771,0.654,8.0,-6.976,0.0,0.298,0.055,0.0,0.214,0.573,155.047
129,0.45,0.368,9.0,-16.91,1.0,0.0511,0.387,0.0442,0.946,0.431,81.43
130,0.722,0.702,7.0,-6.688,1.0,0.347,0.0127,0.0051,0.384,0.424,150.056
131,0.872,0.445,2.0,-7.631,0.0,0.0934,0.27,0.0012,0.345,0.763,120.024
132,0.212,0.383,10.0,-10.071,1.0,0.0347,0.723,0.0,0.299,0.452,173.79
133,0.623,0.585,0.0,-7.895,1.0,0.124,0.0628,0.000155,0.119,0.538,158.273
134,0.723,0.423,5.0,-7.549,0.0,0.0302,0.133,0.0,0.309,0.558,113.064
135,0.858,0.646,8.0,-7.127,0.0,0.267,0.0274,0.0,0.0752,0.738,144.964
136,0.478,0.456,7.0,-6.844,1.0,0.0529,0.122,1.98e-05,0.214,0.268,171.9
137,0.61,0.788,0.0,-5.724,1.0,0.0585,0.195,0.0142,0.153,0.472,101.045
138,0.807,0.816,8.0,-5.779,1.0,0.0284,0.01,0.0301,0.074,0.935,102.002
139,0.539,0.486,1.0,-5.509,1.0,0.0752,0.0923,0.0,0.145,0.247,90.041
140,0.678,0.755,8.0,-4.682,0.0,0.0461,0.0926,0.0311,0.117,0.573,82.531
141,0.543,0.682,3.0,-5.81,1.0,0.113,0.218,1.53e-06,0.085,0.424,179.969
142,0.603,0.688,5.0,-7.846,1.0,0.0374,0.216,1.74e-05,0.123,0.325,147.962
143,0.354,0.54,5.0,-7.091,1.0,0.0593,0.0184,0.000492,0.237,0.0478,162.096
144,0.629,0.823,1.0,-5.744,1.0,0.0597,0.35,0.039,0.0801,0.397,169.961
145,0.731,0.335,7.0,-9.672,1.0,0.0438,0.64,0.271,0.14,0.439,94.991
146,0.849,0.31,5.0,-9.619,1.0,0.22,0.0805,0.00645,0.111,0.417,98.983
147,0.528,0.387,7.0,-10.696,1.0,0.0368,0.764,0.345,0.153,0.129,147.926
148,0.442,0.393,2.0,-10.48,0.0,0.198,0.713,1.35e-05,0.0622,0.261,160.422
149,0.752,0.482,0.0,-12.355,0.0,0.0312,0.075,0.671,0.313,0.416,109.968
150,0.526,0.773,4.0,-7.583,0.0,0.389,0.818,0.169,0.0758,0.888,103.207
151,0.402,0.526,9.0,-6.741,0.0,0.0904,0.113,8.33e-06,0.105,0.312,81.404
152,0.559,0.556,6.0,-7.844,1.0,0.531,0.553,0.0,0.251,0.362,189.861
153,0.878,0.851,7.0,-8.971,1.0,0.232,0.00228,0.00125,0.0509,0.404,99.014
154,0.664,0.427,7.0,-11.36,0.0,0.0901,0.131,0.000262,0.361,0.135,119.927
155,0.491,0.464,5.0,-7.188,0.0,0.0875,0.145,1.57e-06,0.107,0.183,124.352
156,0.724,0.564,1.0,-4.627,0.0,0.0591,0.498,0.0,0.107,0.541,113.943
157,0.43,0.703,2.0,-3.684,1.0,0.229,0.521,0.0,0.132,0.435,45.78
158,0.493,0.786,6.0,-3.948,1.0,0.233,0.454,0.0,0.0992,0.535,117.03
159,0.539,0.638,7.0,-6.049,1.0,0.136,0.00676,0.0,0.123,0.222,179.822
160,0.676,0.525,9.0,-5.88,1.0,0.028,0.617,0.0,0.356,0.421,112.011
161,0.619,0.719,0.0,-4.111,1.0,0.157,0.0227,0.0,0.0839,0.351,86.036
162,0.727,0.496,5.0,-10.386,0.0,0.178,0.0893,0.00011,0.0987,0.504,130.061
163,0.828,0.323,8.0,-11.44,0.0,0.0622,0.231,0.000218,0.11,0.272,97.038
164,0.42,0.377,7.0,-7.212,1.0,0.0369,0.237,2.7e-05,0.129,0.0387,69.178
165,0.549,0.378,9.0,-9.68,1.0,0.27,0.321,5.29e-06,0.107,0.387,92.125
166,0.741,0.644,4.0,-8.518,0.0,0.222,0.135,0.372,0.126,0.301,101.851
167,0.864,0.477,10.0,-5.786,1.0,0.224,0.201,0.0,0.182,0.5,86.46
168,0.727,0.697,1.0,-8.942,1.0,0.0503,0.369,0.468,0.115,0.604,100.003
169,0.581,0.827,8.0,-7.256,1.0,0.405,0.56,0.0,0.136,0.558,92.286
170,0.507,0.466,1.0,-11.966,1.0,0.0862,0.655,0.363,0.0929,0.11,157.013
171,0.823,0.411,0.0,-7.061,1.0,0.0557,0.409,0.00135,0.649,0.397,90.997
172,0.719,0.615,6.0,-5.972,1.0,0.045,0.408,0.000147,0.235,0.465,96.988
173,0.823,0.558,9.0,-7.119,1.0,0.0278,0.397,2.03e-05,0.0821,0.674,155.974
174,0.735,0.798,0.0,-6.175,1.0,0.127,0.0579,0.0677,0.161,0.464,113.997
175,0.827,0.477,0.0,-5.025,1.0,0.254,0.101,4.15e-05,0.0908,0.599,119.807
176,0.654,0.75,8.0,-7.509,0.0,0.105,0.246,0.0178,0.167,0.557,92.78
177,0.877,0.542,2.0,-9.102,1.0,0.0419,0.224,0.132,0.0858,0.509,111.474
178,0.807,0.411,1.0,-6.945,0.0,0.106,0.361,0.000263,0.101,0.635,68.495
179,0.647,0.243,8.0,-14.466,1.0,0.0408,0.4,8.33e-05,0.122,0.328,110.082
180,0.838,0.536,2.0,-6.288,1.0,0.0435,0.072,0.000259,0.208,0.89,119.956
181,0.476,0.592,10.0,-7.252,1.0,0.337,0.728,3.06e-06,0.115,0.578,79.68
182,0.569,0.86,9.0,-4.116,1.0,0.043,0.135,0.0,0.153,0.289,90.937
183,0.789,0.741,0.0,-5.671,0.0,0.133,0.147,0.0179,0.0869,0.814,95.986
184,0.654,0.47,1.0,-10.383,0.0,0.0586,0.274,0.249,0.103,0.462,77.083
185,0.571,0.739,7.0,-6.11,1.0,0.247,0.00865,5.21e-06,0.158,0.66,83.089
186,0.693,0.259,1.0,-7.918,1.0,0.0372,0.448,0.000135,0.0995,0.361,88.972
187,0.61,0.458,9.0,-11.336,1.0,0.36,0.696,0.000103,0.0852,0.246,192.099
188,0.71,0.643,7.0,-14.703,1.0,0.194,0.0451,0.0,0.0628,0.687,167.948
189,0.676,0.554,5.0,-5.965,0.0,0.073,0.26,4.77e-05,0.1,0.43,89.008
190,0.511,0.441,4.0,-10.264,0.0,0.0563,0.749,0.0,0.123,0.382,125.117
191,0.482,0.849,2.0,-9.198,1.0,0.0452,0.641,7.74e-06,0.0414,0.937,124.631
192,0.533,0.376,9.0,-11.913,0.0,0.0393,0.0302,0.248,0.0926,0.187,165.007
193,0.43,0.7,6.0,-5.35,1.0,0.264,0.0902,0.0,0.216,0.731,158.373
194,0.285,0.329,8.0,-12.212,1.0,0.0446,0.526,0.0205,0.158,0.148,159.409
195,0.844,0.574,4.0,-4.886,0.0,0.382,0.306,0.0,0.11,0.476,158.047
196,0.587,0.665,2.0,-6.998,1.0,0.372,0.197,0.0,0.112,0.222,96.016
197,0.623,0.51,0.0,-8.466,0.0,0.0287,0.638,0.000275,0.116,0.701,116.972
198,0.77,0.458,1.0,-10.663,0.0,0.105,0.0533,1.53e-05,0.139,0.177,127.956
199,0.52,0.538,1.0,-8.109,1.0,0.206,0.367,0.00187,0.119,0.177,141.894
200,0.866,0.679,6.0,-6.74,0.0,0.388,0.214,4.8e-06,0.101,0.272,115.015
201,0.883,0.733,11.0,-9.153,0.0,0.128,0.161,0.00026,0.334,0.947,95.103
202,0.473,0.551,0.0,-7.44,0.0,0.0582,0.412,0.186,0.0874,0.263,109.001
203,0.618,0.654,8.0,-6.091,1.0,0.0713,0.0084,0.0001,0.0647,0.712,171.032
204,0.407,0.858,5.0,-6.658,1.0,0.0758,0.00607,0.767,0.0893,0.136,189.928
205,0.835,0.527,7.0,-7.272,0.0,0.128,0.204,0.000423,0.283,0.611,106.003
206,0.823,0.385,2.0,-9.714,1.0,0.34,0.0299,0.00247,0.107,0.241,118.053
207,0.81,0.667,1.0,-7.008,1.0,0.235,0.0357,6.29e-06,0.201,0.34,109.927
208,0.825,0.694,1.0,-7.612,1.0,0.174,0.0248,0.0118,0.357,0.812,112.016
209,0.482,0.662,1.0,-7.652,1.0,0.378,0.00684,9.96e-05,0.159,0.281,145.648
210,0.404,0.524,5.0,-8.996,0.0,0.0593,0.0456,0.00316,0.199,0.168,145.74
211,0.573,0.63,1.0,-8.389,1.0,0.105,0.189,2.31e-05,0.259,0.218,77.525
212,0.68,0.826,0.0,-5.487,1.0,0.0309,0.0212,1.24e-05,0.543,0.644,118.051
213,0.555,0.619,0.0,-7.918,1.0,0.0314,0.0323,0.000224,0.0917,0.141,95.032
214,0.667,0.719,7.0,-5.371,0.0,0.0346,0.00285,8.1e-05,0.0736,0.717,100.021
215,0.375,0.605,0.0,-7.268,0.0,0.0729,0.612,0.0448,0.147,0.128,175.946
216,0.218,0.652,4.0,-7.953,0.0,0.0641,0.033,0.111,0.172,0.0599,65.375
217,0.779,0.362,0.0,-10.847,1.0,0.0474,0.135,0.206,0.111,0.46,85.011
218,0.853,0.811,6.0,-4.926,0.0,0.0646,0.0439,0.000304,0.0703,0.901,114.961
219,0.483,0.281,8.0,-11.003,0.0,0.0835,0.844,0.000183,0.218,0.338,99.974
220,0.642,0.502,7.0,-6.68,0.0,0.121,0.0454,0.0,0.116,0.313,79.993
221,0.58,0.469,8.0,-8.655,0.0,0.118,0.778,6.79e-05,0.099,0.289,176.019
222,0.785,0.27,5.0,-14.457,1.0,0.0892,0.255,0.00132,0.0953,0.12,131.894
223,0.76,0.607,7.0,-6.274,1.0,0.0964,0.00277,0.0,0.132,0.709,105.979
224,0.661,0.523,8.0,-5.902,1.0,0.0381,0.483,0.0,0.469,0.536,122.948
225,0.472,0.468,3.0,-5.815,1.0,0.184,0.163,0.0,0.586,0.404,81.94
226,0.521,0.762,2.0,-6.746,1.0,0.529,0.138,1.11e-05,0.114,0.266,164.09
227,0.794,0.735,0.0,-4.204,1.0,0.054,0.108,0.00578,0.112,0.223,107.374
228,0.707,0.706,1.0,-6.761,0.0,0.0468,0.021,7.15e-06,0.073,0.627,99.954
229,0.748,0.509,2.0,-7.092,1.0,0.0444,0.445,0.000358,0.165,0.824,123.976
230,0.546,0.859,1.0,-5.966,1.0,0.0306,0.00223,0.000947,0.0529,0.645,99.965
231,0.812,0.35,6.0,-7.566,0.0,0.0428,0.291,0.0295,0.0951,0.41,123.988
232,0.637,0.227,5.0,-12.486,0.0,0.0402,0.75,0.00853,0.119,0.611,180.29
233,0.307,0.625,5.0,-8.983,0.0,0.062,0.472,0.000577,0.144,0.183,180.467
234,0.693,0.323,3.0,-11.97,0.0,0.0306,0.405,2.19e-05,0.149,0.669,129.964
235,0.565,0.446,0.0,-9.26,0.0,0.0531,0.693,0.0,0.469,0.266,140.121
236,0.497,0.803,5.0,-4.46,0.0,0.132,0.0447,1.77e-05,0.424,0.155,183.883
237,0.74,0.666,0.0,-5.082,1.0,0.0441,0.318,5.4e-05,0.327,0.756,105.978
238,0.84,0.344,5.0,-8.613,0.0,0.0374,0.456,3.36e-05,0.35,0.526,111.994
239,0.586,0.563,10.0,-8.366,1.0,0.054,0.25,0.000687,0.113,0.283,82.791
240,0.66,0.139,6.0,-16.339,0.0,0.0323,0.964,1.1e-05,0.105,0.312,79.975
241,0.784,0.653,1.0,-6.022,1.0,0.0365,0.0126,2.48e-06,0.317,0.348,108.064
242,0.827,0.469,10.0,-9.141,0.0,0.341,0.0807,8.12e-06,0.207,0.196,97.028
243,0.925,0.381,6.0,-13.354,0.0,0.055,0.403,0.0,0.113,0.876,114.062
244,0.649,0.791,2.0,-6.013,1.0,0.193,0.104,1.97e-06,0.108,0.811,128.023
245,0.765,0.398,7.0,-8.993,0.0,0.037,0.0681,8.48e-06,0.14,0.348,95.976
246,0.726,0.408,11.0,-6.606,0.0,0.0614,0.603,0.0,0.225,0.459,115.918
247,0.765,0.356,11.0,-5.556,0.0,0.195,0.223,0.0,0.0963,0.189,96.991
248,0.639,0.633,3.0,-7.338,0.0,0.0352,0.574,0.000218,0.111,0.243,129.996
249,0.287,0.498,6.0,-7.523,0.0,0.177,0.581,7.56e-05,0.322,0.0634,171.725
250,0.665,0.612,2.0,-4.664,0.0,0.0314,0.487,0.000194,0.183,0.25,120.989
251,0.652,0.549,6.0,-7.555,0.0,0.039,0.317,0.0,0.104,0.186,120.073
252,0.65,0.711,0.0,-5.417,1.0,0.0377,0.0123,0.00943,0.301,0.319,89.019
253,0.514,0.78,10.0,-6.491,0.0,0.198,0.127,0.0,0.349,0.331,75.549
254,0.747,0.538,3.0,-6.478,0.0,0.0386,0.299,0.425,0.187,0.547,157.989
255,0.663,0.567,5.0,-5.941,0.0,0.0309,0.0938,0.00978,0.124,0.139,108.959
256,0.534,0.36,11.0,-12.942,0.0,0.0778,0.296,0.00158,0.382,0.387,153.985
257,0.754,0.342,10.0,-8.677,0.0,0.0991,0.073,0.0,0.193,0.423,128.981
258,0.644,0.283,1.0,-10.675,0.0,0.054,0.083,0.311,0.111,0.378,110.016
259,0.584,0.779,3.0,-5.656,0.0,0.0721,0.259,0.00606,0.28,0.518,94.841
260,0.613,0.488,8.0,-7.372,1.0,0.0959,0.129,2.13e-05,0.335,0.183,172.067
261,0.686,0.701,5.0,-5.702,0.0,0.0968,0.257,0.00281,0.088,0.605,173.994
262,0.41,0.169,3.0,-11.422,1.0,0.0485,0.847,0.00327,0.117,0.208,89.494
263,0.803,0.498,8.0,-5.389,0.0,0.0611,0.285,1.29e-06,0.161,0.836,92.034
264,0.537,0.411,7.0,-14.059,1.0,0.502,0.487,9.21e-06,0.3,0.207,94.292
265,0.648,0.681,2.0,-8.389,0.0,0.0378,0.263,0.00783,0.0971,0.767,157.941
266,0.438,0.634,5.0,-7.456,0.0,0.337,0.476,0.0,0.113,0.397,203.585
267,0.608,0.0664,1.0,-18.857,1.0,0.0596,0.758,0.945,0.0978,0.294,139.232
268,0.806,0.546,9.0,-6.637,1.0,0.0575,0.3,0.0,0.102,0.874,147.986
269,0.621,0.873,5.0,-3.067,0.0,0.0369,0.0406,9.1e-06,0.0824,0.873,97.96
270,0.616,0.804,0.0,-5.568,1.0,0.0427,0.0124,0.0998,0.553,0.627,99.002
271,0.602,0.881,1.0,-5.875,0.0,0.0443,0.00462,0.0266,0.111,0.577,125.012
272,0.731,0.664,0.0,-5.474,1.0,0.0302,0.00307,0.35,0.133,0.661,118.018
273,0.863,0.576,8.0,-5.691,1.0,0.0567,0.406,0.00824,0.141,0.932,100.03
274,0.664,0.848,11.0,-4.51,0.0,0.0322,0.0245,0.000127,0.172,0.502,104.998
275,0.602,0.88,1.0,-5.414,1.0,0.0354,0.057,0.46,0.284,0.493,114.009
276,0.381,0.829,10.0,-4.564,1.0,0.0598,0.0226,0.000274,0.402,0.509,165.935
277,0.791,0.542,0.0,-7.956,0.0,0.174,0.248,0.0,0.122,0.698,120.003
278,0.692,0.452,6.0,-8.18,1.0,0.116,0.0358,0.0,0.157,0.623,184.876
279,0.622,0.532,0.0,-7.143,1.0,0.128,0.269,5.37e-05,0.158,0.364,76.459
280,0.507,0.619,2.0,-8.347,0.0,0.216,0.23,0.0063,0.593,0.435,131.374
281,0.784,0.63,0.0,-5.894,1.0,0.0341,0.5,0.0238,0.115,0.564,91.994
